interval,pv_150,load_150,surplus
2019-03-18 00:00:00,98.13199999999993,16.255127100099344,81.87687289990059
2019-03-19 00:00:00,132.00000000000003,15.996126404300412,116.00387359569962
2019-03-20 00:00:00,172.74399999999997,17.908542885999847,154.83545711400012
2019-03-21 00:00:00,55.41199999999999,12.954368480300216,42.457631519699774
2019-03-22 00:00:00,73.18000000000002,17.00488294170009,56.17511705829993
2019-03-23 00:00:00,171.89999999999998,30.264796679199208,141.63520332080077
2019-03-24 00:00:00,201.608,34.60499292629993,167.00300707370008
2019-03-25 00:00:00,62.15200000000003,13.573096689799966,48.57890331020006
2019-03-26 00:00:00,81.45599999999996,18.09928826560099,63.35671173439897
2019-03-27 00:00:00,75.10399999999996,21.894092781700238,53.20990721829972
